sentence #,word,pos,tag,word_idx,tag_idx
1,Berikut,PROPN,O,805,4
1,adalah,AUX,O,5456,4
1,tujuh,NUM,O,3291,4
1,kota,NOUN,O,7522,4
1,di,ADP,O,2096,4
1,Indonesia,PROPN,B-LOC,3518,1
1,yang,PRON,O,4477,4
1,dianggap,VERB,O,5271,4
1,paling,ADV,O,6162,4
1,nyaman,ADJ,O,1923,4
1,untuk,ADP,O,7038,4
1,ditinggali,VERB,O,4467,4
1,:,PUNCT,O,682,4
2,Soal,PROPN,O,528,4
2,calon,NOUN,O,7255,4
2,presiden,NOUN,O,4628,4
2,itu,DET,O,7226,4
2,urusan,NOUN,O,2653,4
2,nanti,NOUN,O,2768,4
2,",",PUNCT,O,3948,4
2,yang,PRON,O,4477,4
2,penting,ADJ,O,5480,4
2,menang,VERB,O,943,4
2,dulu,ADV,O,7823,4
2,lah,PART,O,8328,4
2,",",PUNCT,O,3948,4
2,kata,NOUN,O,8331,4
2,Anis,PROPN,B-PER,2852,2
2,di,ADP,O,2096,4
2,Samarinda,PROPN,B-LOC,5823,1
2,",",PUNCT,O,3948,4
2,Kalimantan,PROPN,B-LOC,2519,1
2,Timur,PROPN,I-LOC,5718,6
2,",",PUNCT,O,3948,4
2,Selasa,PROPN,O,4022,4
2,(29/10/2013),PUNCT,O,3660,4
2,.,PUNCT,O,3266,4
3,Kalau,SCONJ,O,4780,4
3,itu,DET,O,7226,4
3,tanya,NOUN,O,7466,4
3,PPP,PROPN,B-ORG,827,0
3,saja,ADV,O,3799,4
3,",",PUNCT,O,3948,4
3,ujar,NOUN,O,5916,4
3,Nasir,PROPN,B-PER,2756,2
3,sambil,ADP,O,4913,4
3,memasuki,VERB,O,3070,4
3,ruang,NOUN,O,4429,4
3,rapat,NOUN,O,8473,4
3,konsultasi,NOUN,O,1883,4
3,pimpinan,NOUN,O,5472,4
3,fraksi,NOUN,O,1643,4
3,dan,CCONJ,O,418,4
3,kelompok,NOUN,O,2054,4
3,DPD,PROPN,O,5322,4
3,.,PUNCT,O,3266,4
4,Jokowi,PROPN,B-PER,8070,2
4,bisa,ADV,O,1388,4
4,mengatakan,VERB,O,2557,4
4,mencabut,VERB,O,3049,4
4,pengaduan,NOUN,O,8366,4
4,dan,CCONJ,O,418,4
4,memaafkan,VERB,O,7443,4
4,pelakunya,NOUN,O,3898,4
4,",",PUNCT,O,3948,4
4,katanya,NOUN,O,7009,4
4,.,PUNCT,O,3266,4
5,Akbar,PROPN,B-PER,5096,2
5,menyebutkan,VERB,O,2156,4
5,pemerintahan,NOUN,O,1826,4
5,Jokowi-JK,PROPN,O,2562,4
5,juga,ADV,O,7625,4
5,mencanangkan,VERB,O,4386,4
5,Nawa,PROPN,O,4784,4
5,Cita,PROPN,O,2003,4
5,atau,CCONJ,O,7860,4
5,sembilan,NUM,O,3816,4
5,agenda,NOUN,O,4044,4
5,perubahan,NOUN,O,5936,4
5,untuk,ADP,O,7038,4
5,meningkatkan,VERB,O,7040,4
5,produktivitas,NOUN,O,5414,4
5,dan,CCONJ,O,418,4
5,daya,NOUN,O,769,4
5,saing,ADJ,O,5754,4
5,rakyat,NOUN,O,6697,4
5,pada,ADP,O,2754,4
5,tingkat,NOUN,O,6706,4
5,pasa,NOUN,O,1146,4
5,nasional,ADJ,O,3541,4
5,maupun,CCONJ,O,3701,4
5,internasional,ADJ,O,2890,4
5,.,PUNCT,O,3266,4
6,Ketiga,NUM,O,7143,4
6,kinerja,VERB,O,1205,4
6,bank,NOUN,O,4945,4
6,sebagai,ADP,O,6567,4
6,lembaga,NOUN,O,6032,4
6,intermediasi,NOUN,O,8431,4
6,yakni,SCONJ,O,2723,4
6,Loan,PROPN,O,3833,4
6,to,PROPN,O,5897,4
6,Deposit,PROPN,O,5295,4
6,Ratio,PROPN,O,662,4
6,LDR,PROPN,O,3106,4
6,Bank,PROPN,B-ORG,6619,0
6,Mandiri,PROPN,I-ORG,7886,3
6,selain,ADP,O,6752,4
6,merebut,VERB,O,1673,4
6,skor,NOUN,O,2669,4
6,tertinggi,ADJ,O,1723,4
6,bank,NOUN,O,4945,4
6,umum,ADJ,O,136,4
6,nasional,ADJ,O,3541,4
6,",",PUNCT,O,3948,4
6,juga,ADV,O,7625,4
6,memenangkan,VERB,O,6303,4
6,kategoti,NOUN,O,5504,4
6,bank,NOUN,O,4945,4
6,BUMN,PROPN,B-ORG,7817,0
6,dan,CCONJ,O,418,4
6,bank,NOUN,O,4945,4
6,terbuka,VERB,O,404,4
6,3,NUM,O,5735,4
6,kategori,NOUN,O,2038,4
6,.,PUNCT,O,3266,4
7,Presiden,PROPN,O,79,4
7,Soesilo,PROPN,B-PER,2763,2
7,Bambang,PROPN,I-PER,6190,5
7,Yudhoyono,PROPN,I-PER,6106,5
7,menyatakan,VERB,O,6949,4
7,kekecewaannya,NOUN,O,2581,4
7,atas,ADP,O,7545,4
7,sikap,NOUN,O,179,4
7,sejumlah,DET,O,4073,4
7,partai,NOUN,O,839,4
7,koalisinya,NOUN,O,7124,4
7,yang,PRON,O,4477,4
7,tidak,PART,O,6969,4
7,mentaati,VERB,O,7636,4
7,kesepakatan,NOUN,O,1325,4
7,yang,PRON,O,4477,4
7,pernah,ADV,O,165,4
7,ditekennya,VERB,O,6774,4
7,.,PUNCT,O,3266,4
8,Produk,NOUN,O,2644,4
8,ini,DET,O,3244,4
8,juga,ADV,O,7625,4
8,memiliki,VERB,O,7894,4
8,keunggulan,NOUN,O,3130,4
8,dibanding,VERB,O,7913,4
8,produk,NOUN,O,5450,4
8,lain,ADJ,O,2704,4
8,",",PUNCT,O,3948,4
8,yaitu,ADV,O,8500,4
8,pembuatannya,NOUN,O,3339,4
8,yang,PRON,O,4477,4
8,mudah,ADJ,O,4099,4
8,",",PUNCT,O,3948,4
8,praktis,ADJ,O,6695,4
8,",",PUNCT,O,3948,4
8,murah,ADJ,O,1435,4
8,",",PUNCT,O,3948,4
8,dapar,ADJ,O,3640,4
8,mengurangi,VERB,O,6192,4
8,pencemaran,NOUN,O,4032,4
8,",",PUNCT,O,3948,4
8,dan,CCONJ,O,418,4
8,menghasilkan,VERB,O,3962,4
8,produk,NOUN,O,5450,4
8,obat,NOUN,O,2374,4
8,luka,NOUN,O,3044,4
8,bakar,NOUN,O,4569,4
8,dengan,ADP,O,7841,4
8,kesembuhan,NOUN,O,3187,4
8,yang,PRON,O,4477,4
8,optimal,ADJ,O,900,4
8,.,PUNCT,O,3266,4
9,Serangan,NOUN,O,868,4
9,yang,PRON,O,4477,4
9,menewaskan,VERB,O,6748,4
9,Ghul,PROPN,B-PER,4928,2
9,dilancarkan,VERB,O,7449,4
9,pada,ADP,O,2754,4
9,Minggu,PROPN,O,1993,4
9,(24/8),PUNCT,O,5550,4
9,waktu,NOUN,O,8133,4
9,setempat,ADJ,O,1816,4
9,.,PUNCT,O,3266,4
10,Siapapun,PRON,O,4714,4
10,bisa,ADV,O,1388,4
10,membantu,VERB,O,522,4
10,dengan,ADP,O,7841,4
10,menyortir,VERB,O,6234,4
10,gambar,NOUN,O,4822,4
10,ke,ADP,O,6317,4
10,dalam,ADP,O,4955,4
10,kategori,NOUN,O,2038,4
10,kota,NOUN,O,7522,4
10,",",PUNCT,O,3948,4
10,bintang,NOUN,O,8388,4
10,",",PUNCT,O,3948,4
10,atau,CCONJ,O,7860,4
10,benda,NOUN,O,849,4
10,lainnya,ADJ,O,8302,4
10,",",PUNCT,O,3948,4
10,kata,NOUN,O,8331,4
10,Alejandro,PROPN,B-PER,7323,2
10,Sanchez,PROPN,I-PER,7073,5
10,",",PUNCT,O,3948,4
10,mahasiswa,NOUN,O,7118,4
10,doktoral,ADJ,O,8501,4
10,di,ADP,O,2096,4
10,Complutense,PROPN,B-LOC,5662,1
10,.,PUNCT,O,3266,4
11,Kalau,SCONJ,O,4780,4
11,premium,NOUN,O,5467,4
11,sore,NOUN,O,3450,4
11,akan,ADV,O,2842,4
11,habis,VERB,O,616,4
11,besok,NOUN,O,1807,4
11,akan,ADV,O,2842,4
11,ada,VERB,O,8499,4
11,lagi,ADV,O,3609,4
11,kok,PART,O,3042,4
11,",",PUNCT,O,3948,4
11,silakan,ADV,O,3288,4
11,beli,VERB,O,4553,4
11,besok,NOUN,O,1807,4
11,",",PUNCT,O,3948,4
11,seru,NOUN,O,1074,4
11,Hanung,PROPN,B-PER,5229,2
11,.,PUNCT,O,3266,4
12,Partai,PROPN,B-ORG,6156,0
12,Demokrat,PROPN,I-ORG,5077,3
12,memilih,VERB,O,7485,4
12,posisi,NOUN,O,1974,4
12,berada,VERB,O,8440,4
12,di,ADP,O,2096,4
12,luar,NOUN,O,4168,4
12,pemerintahan,NOUN,O,1826,4
12,tapi,CCONJ,O,6125,4
12,juga,ADV,O,7625,4
12,berada,VERB,O,8440,4
12,di,ADP,O,2096,4
12,luar,NOUN,O,4168,4
12,koalisi,NOUN,B-ORG,4874,0
12,merah,ADJ,I-ORG,3498,3
12,putih,ADJ,I-ORG,5769,3
12,yang,PRON,O,4477,4
12,mendukung,VERB,O,4456,4
12,pasangan,NOUN,O,3000,4
12,Prabowo,PROPN,B-PER,4940,2
12,-,PUNCT,O,1815,4
12,Hatta,PROPN,B-PER,8007,2
12,",",PUNCT,O,3948,4
12,kata,NOUN,O,8331,4
12,Rachlan,PROPN,B-PER,6652,2
12,Nasidik,PROPN,I-PER,3525,5
12,usai,VERB,O,8450,4
12,diskusi,NOUN,O,7492,4
12,Spirit,PROPN,O,7647,4
12,Demokrat,PROPN,O,5077,4
12,di,ADP,O,2096,4
12,Jakarta,PROPN,B-LOC,224,1
12,",",PUNCT,O,3948,4
12,Jumat,PROPN,O,4970,4
12,.,PUNCT,O,3266,4
13,Menurut,ADP,O,2142,4
13,anggota,NOUN,O,4100,4
13,Komisi,PROPN,O,8482,4
13,I,NUM,O,7584,4
13,itu,DET,O,7226,4
13,",",PUNCT,O,3948,4
13,Ketua,NOUN,O,4480,4
13,Umum,ADJ,O,4827,4
13,PDI,PROPN,B-ORG,8343,0
13,Perjuangan,PROPN,I-ORG,6852,3
13,Megawati,PROPN,B-PER,6688,2
13,Soekarnoputri,PROPN,I-PER,7777,5
13,sebelumnya,ADV,O,2666,4
13,telah,ADV,O,6837,4
13,memerintahkan,VERB,O,6187,4
13,kepada,ADP,O,3289,4
13,semua,DET,O,8333,4
13,kader,NOUN,O,277,4
13,agar,SCONJ,O,5147,4
13,mendukung,VERB,O,4456,4
13,kebijakan,NOUN,O,2398,4
13,Jokowi,PROPN,B-PER,8070,2
13,.,PUNCT,O,3266,4
14,Dikatakan,VERB,O,6048,4
14,jika,SCONJ,O,4686,4
14,seluruh,DET,O,2538,4
14,aktivitas,NOUN,O,2563,4
14,itu,DET,O,7226,4
14,dilakukan,VERB,O,3811,4
14,bersama,ADP,O,8522,4
14,Wapres,PROPN,O,4513,4
14,Boediono,PROPN,B-PER,2356,2
14,di,ADP,O,2096,4
14,Istana,PROPN,B-LOC,5682,1
14,Negara,PROPN,I-LOC,293,6
14,.,PUNCT,O,3266,4
15,Pemerintah,PROPN,O,2042,4
15,Indonesia,PROPN,O,3518,4
15,terus,ADV,O,4426,4
15,berupaya,VERB,O,2915,4
15,mempromosikan,VERB,O,4692,4
15,potensi,NOUN,O,6216,4
15,wisata,NOUN,O,92,4
15,bahari,ADJ,O,7341,4
15,Raja,PROPN,B-LOC,3675,1
15,Ampat,PROPN,I-LOC,1746,6
15,sebagai,ADP,O,6567,4
15,kawasan,NOUN,O,4762,4
15,konservasi,NOUN,O,7343,4
15,perairan,NOUN,O,3732,4
15,dalam,ADP,O,4955,4
15,rangka,NOUN,O,8463,4
15,mengembangkan,VERB,O,7593,4
15,ekonomi,NOUN,O,1241,4
15,kelautan,NOUN,O,5736,4
15,",",PUNCT,O,3948,4
15,kata,NOUN,O,8331,4
15,Menteri,PROPN,O,1621,4
15,Kelautan,PROPN,O,5067,4
15,dan,CCONJ,O,418,4
15,Perikanan,NOUN,O,1788,4
15,dalam,ADP,O,4955,4
15,keterangan,NOUN,O,2611,4
15,tertulis,ADJ,O,450,4
15,yang,PRON,O,4477,4
15,diterima,VERB,O,2528,4
15,di,ADP,O,2096,4
15,Raja,PROPN,B-LOC,3675,1
15,Ampat,PROPN,I-LOC,1746,6
15,",",PUNCT,O,3948,4
15,Papua,PROPN,B-LOC,7960,1
15,Barat,PROPN,I-LOC,8378,6
15,",",PUNCT,O,3948,4
15,Minggu,PROPN,O,1993,4
15,.,PUNCT,O,3266,4
16,Untuk,ADP,O,7214,4
16,itu,DET,O,7226,4
16,",",PUNCT,O,3948,4
16,dalam,ADP,O,4955,4
16,SPM,NOUN,O,7213,4
16,ini,DET,O,3244,4
16,",",PUNCT,O,3948,4
16,masyarakat,NOUN,O,1349,4
16,yang,PRON,O,4477,4
16,sama,ADJ,O,619,4
16,sekali,ADV,O,3395,4
16,awam,ADJ,O,3341,4
16,tentang,ADP,O,772,4
16,pasar,NOUN,O,3409,4
16,modal,ADJ,O,2921,4
16,dapat,ADV,O,2323,4
16,mengenal,VERB,O,5967,4
16,lebih,ADV,O,8043,4
16,jauh,ADJ,O,5636,4
16,tentang,ADP,O,772,4
16,saham,NOUN,O,1761,4
16,",",PUNCT,O,3948,4
16,obligasi,NOUN,O,7645,4
16,dan,CCONJ,O,418,4
16,reksadana,NOUN,O,7218,4
16,.,PUNCT,O,3266,4
17,Oleh,ADP,O,2506,4
17,karena,CCONJ,O,5360,4
17,ini,DET,O,3244,4
17,memang,ADV,O,7659,4
17,kita,PRON,O,3596,4
17,tidak,PART,O,6969,4
17,perlu,ADV,O,6722,4
17,mencemaskan,VERB,O,8089,4
17,penyebaran,NOUN,O,4058,4
17,virus,NOUN,O,8276,4
17,ebola,NOUN,O,6419,4
17,ini,DET,O,3244,4
17,di,ADP,O,2096,4
17,Indonesia,PROPN,B-LOC,3518,1
17,.,PUNCT,O,3266,4
18,Ruhut,PROPN,B-PER,4745,2
18,mengatakan,VERB,O,2557,4
18,tak,PART,O,5631,4
18,ada,VERB,O,8499,4
18,ambisi,NOUN,O,2112,4
18,politik,NOUN,O,7107,4
18,tertentu,DET,O,3697,4
18,terkait,VERB,O,572,4
18,dengan,ADP,O,7841,4
18,dukungannya,NOUN,O,7905,4
18,kepada,ADP,O,3289,4
18,calon,NOUN,O,7255,4
18,presiden,NOUN,O,4628,4
18,yang,PRON,O,4477,4
18,sebelumnya,ADV,O,2666,4
18,sering,ADV,O,1407,4
18,dikritiknya,NOUN,O,3812,4
18,itu,DET,O,7226,4
18,.,PUNCT,O,3266,4
19,Jurubicara,PROPN,O,7046,4
19,MDC,PROPN,B-ORG,6824,0
19,sebelumnya,ADV,O,2666,4
19,mengatakan,VERB,O,2557,4
19,polisi,NOUN,O,1597,4
19,telah,ADV,O,6837,4
19,menggunakan,VERB,O,4265,4
19,semprotan,NOUN,O,2878,4
19,air,NOUN,O,4351,4
19,dan,CCONJ,O,418,4
19,gas,NOUN,O,4290,4
19,air,NOUN,O,4351,4
19,mata,NOUN,O,667,4
19,serta,CCONJ,O,3963,4
19,memukuli,VERB,O,2810,4
19,pendukung,NOUN,O,7494,4
19,partai,NOUN,O,839,4
19,yang,PRON,O,4477,4
19,ingin,ADV,O,1052,4
19,menghadiri,VERB,O,7516,4
19,pawai,NOUN,O,731,4
19,tersebut,DET,O,1513,4
19,yang,PRON,O,4477,4
19,sebelumnya,ADV,O,2666,4
19,dijadwalkan,VERB,O,2753,4
19,dihadiri,VERB,O,6593,4
19,oleh,ADP,O,3928,4
19,pemimpin,NOUN,O,6730,4
19,MDC,PROPN,B-ORG,6824,0
19,Morgan,PROPN,B-PER,2652,2
19,Tsangirai,PROPN,I-PER,593,5
19,.,PUNCT,O,3266,4
20,Menurut,ADP,O,2142,4
20,dia,PRON,O,5416,4
20,",",PUNCT,O,3948,4
20,sejak,ADP,O,4879,4
20,Raja,PROPN,B-LOC,3675,1
20,Ampat,PROPN,I-LOC,1746,6
20,ditetapkan,VERB,O,3731,4
20,sebagai,ADP,O,6567,4
20,Kawasan,PROPN,O,4384,4
20,Konservasi,PROPN,O,4746,4
20,Perairan,PROPN,O,3204,4
20,Nasional,PROPN,O,367,4
20,(KKPN),PROPN,O,1813,4
20,",",PUNCT,O,3948,4
20,masyarakat,NOUN,O,1349,4
20,telah,ADV,O,6837,4
20,banyak,ADV,O,7555,4
20,merasakan,VERB,O,980,4
20,manfaatnya,NOUN,O,8285,4
20,.,PUNCT,O,3266,4
21,Begitu,SCONJ,O,8519,4
21,kampanye,NOUN,O,2208,4
21,",",PUNCT,O,3948,4
21,Rini,PROPN,B-PER,4930,2
21,nempel,PROPN,O,8018,4
21,banget,VERB,O,250,4
21,dengan,ADP,O,7841,4
21,Megawati,NOUN,B-PER,6688,2
21,",",PUNCT,O,3948,4
21,eh,NOUN,O,4048,4
21,ternyata,ADV,O,738,4
21,pecah,VERB,O,5514,4
21,kongsi,NOUN,O,6339,4
21,",",PUNCT,O,3948,4
21,pengkhianat,NOUN,O,2145,4
21,.,PUNCT,O,3266,4
21,Sama,ADJ,O,7797,4
21,dengan,ADP,O,7841,4
21,yang,PRON,O,4477,4
21,namanya,NOUN,O,4289,4
21,di,ADP,O,2096,4
21,pojok,NOUN,O,8144,4
21,ini,DET,O,3244,4
21,Andi,PROPN,B-PER,3641,2
21,",",PUNCT,O,3948,4
21,enggak,ADV,O,2435,4
21,tahu,VERB,O,5759,4
21,diri,NOUN,O,5607,4
21,",",PUNCT,O,3948,4
21,pengkhianat,NOUN,O,2145,4
21,",",PUNCT,O,3948,4
21,anak,NOUN,O,8404,4
21,baru,ADJ,O,6846,4
21,kemarin,NOUN,O,5317,4
21,kok,PART,O,3042,4
21,bisa,ADV,O,1388,4
21,atur-atur,VERB,O,7899,4
