,sentence #,word,tag,word_idx,tag_idx
0,1,Berikut,O,7983,0
1,1,adalah,O,2039,0
2,1,tujuh,O,4980,0
3,1,kota,O,41,0
4,1,di,O,4961,0
5,1,Indonesia,B-LOC,1745,6
6,1,yang,O,5214,0
7,1,dianggap,O,5262,0
8,1,paling,O,5006,0
9,1,nyaman,O,642,0
10,1,untuk,O,1163,0
11,1,ditinggali,O,3617,0
12,1,:,O,8292,0
13,2,Soal,O,3711,0
14,2,calon,O,8327,0
15,2,presiden,O,3000,0
16,2,itu,O,5216,0
17,2,urusan,O,4847,0
18,2,nanti,O,865,0
19,2,",",O,7275,0
20,2,yang,O,5214,0
21,2,penting,O,591,0
22,2,menang,O,3121,0
23,2,dulu,O,3514,0
24,2,lah,O,6745,0
25,2,",",O,7275,0
26,2,kata,O,5420,0
27,2,Anis,B-PER,552,4
28,2,di,O,4961,0
29,2,Samarinda,B-LOC,1236,6
30,2,",",O,7275,0
31,2,Kalimantan,B-LOC,5939,6
32,2,Timur,I-LOC,1298,1
33,2,",",O,7275,0
34,2,Selasa,O,4713,0
35,2,(29/10/2013),O,4064,0
36,2,.,O,6215,0
37,3,Kalau,O,5035,0
38,3,itu,O,5216,0
39,3,tanya,O,5722,0
40,3,PPP,B-ORG,7446,2
41,3,saja,O,5829,0
42,3,",",O,7275,0
43,3,ujar,O,5990,0
44,3,Nasir,B-PER,1083,4
45,3,sambil,O,2680,0
46,3,memasuki,O,7934,0
47,3,ruang,O,516,0
48,3,rapat,O,2803,0
49,3,konsultasi,O,248,0
50,3,pimpinan,O,1397,0
51,3,fraksi,O,1860,0
52,3,dan,O,652,0
53,3,kelompok,O,2351,0
54,3,DPD,O,2417,0
55,3,.,O,6215,0
56,4,Jokowi,B-PER,8234,4
57,4,bisa,O,3106,0
58,4,mengatakan,O,3220,0
59,4,mencabut,O,2834,0
60,4,pengaduan,O,4775,0
61,4,dan,O,652,0
62,4,memaafkan,O,3257,0
63,4,pelakunya,O,2096,0
64,4,",",O,7275,0
65,4,katanya,O,5685,0
66,4,.,O,6215,0
67,5,Akbar,B-PER,4662,4
68,5,menyebutkan,O,5284,0
69,5,pemerintahan,O,5706,0
70,5,Jokowi-JK,O,3052,0
71,5,juga,O,6288,0
72,5,mencanangkan,O,2366,0
73,5,Nawa,O,7513,0
74,5,Cita,O,2681,0
75,5,atau,O,671,0
76,5,sembilan,O,2181,0
77,5,agenda,O,8053,0
78,5,perubahan,O,3956,0
79,5,untuk,O,1163,0
80,5,meningkatkan,O,4834,0
81,5,produktivitas,O,100,0
82,5,dan,O,652,0
83,5,daya,O,5152,0
84,5,saing,O,6918,0
85,5,rakyat,O,6102,0
86,5,pada,O,2365,0
87,5,tingkat,O,7213,0
88,5,pasa,O,6586,0
89,5,nasional,O,2755,0
90,5,maupun,O,7150,0
91,5,internasional,O,4722,0
92,5,.,O,6215,0
93,6,Ketiga,O,8294,0
94,6,kinerja,O,2543,0
95,6,bank,O,6292,0
96,6,sebagai,O,1754,0
97,6,lembaga,O,1480,0
98,6,intermediasi,O,7822,0
99,6,yakni,O,5998,0
100,6,Loan,O,1102,0
101,6,to,O,7039,0
102,6,Deposit,O,5846,0
103,6,Ratio,O,6691,0
104,6,LDR,O,2474,0
105,6,Bank,B-ORG,4532,2
106,6,Mandiri,I-ORG,4501,5
107,6,selain,O,623,0
108,6,merebut,O,3603,0
109,6,skor,O,6180,0
110,6,tertinggi,O,3043,0
111,6,bank,O,6292,0
112,6,umum,O,3155,0
113,6,nasional,O,2755,0
114,6,",",O,7275,0
115,6,juga,O,6288,0
116,6,memenangkan,O,3975,0
117,6,kategoti,O,899,0
118,6,bank,O,6292,0
119,6,BUMN,B-ORG,8059,2
120,6,dan,O,652,0
121,6,bank,O,6292,0
122,6,terbuka,O,617,0
123,6,3,O,7118,0
124,6,kategori,O,7129,0
125,6,.,O,6215,0
126,7,Presiden,O,6498,0
127,7,Soesilo,B-PER,2299,4
128,7,Bambang,I-PER,6818,3
129,7,Yudhoyono,I-PER,5162,3
130,7,menyatakan,O,3594,0
131,7,kekecewaannya,O,5272,0
132,7,atas,O,3830,0
133,7,sikap,O,2241,0
134,7,sejumlah,O,6977,0
135,7,partai,O,4326,0
136,7,koalisinya,O,7774,0
137,7,yang,O,5214,0
138,7,tidak,O,7285,0
139,7,mentaati,O,2547,0
140,7,kesepakatan,O,8498,0
141,7,yang,O,5214,0
142,7,pernah,O,376,0
143,7,ditekennya,O,3346,0
144,7,.,O,6215,0
145,8,Produk,O,7295,0
146,8,ini,O,452,0
147,8,juga,O,6288,0
148,8,memiliki,O,411,0
149,8,keunggulan,O,7659,0
150,8,dibanding,O,7489,0
151,8,produk,O,8541,0
152,8,lain,O,2367,0
153,8,",",O,7275,0
154,8,yaitu,O,5940,0
155,8,pembuatannya,O,8112,0
156,8,yang,O,5214,0
157,8,mudah,O,8033,0
158,8,",",O,7275,0
159,8,praktis,O,6282,0
160,8,",",O,7275,0
161,8,murah,O,7103,0
162,8,",",O,7275,0
163,8,dapar,O,7141,0
164,8,mengurangi,O,1122,0
165,8,pencemaran,O,6421,0
166,8,",",O,7275,0
167,8,dan,O,652,0
168,8,menghasilkan,O,3038,0
169,8,produk,O,8541,0
170,8,obat,O,3688,0
171,8,luka,O,3531,0
172,8,bakar,O,4517,0
173,8,dengan,O,3381,0
174,8,kesembuhan,O,4257,0
175,8,yang,O,5214,0
176,8,optimal,O,7054,0
177,8,.,O,6215,0
178,9,Serangan,O,4615,0
179,9,yang,O,5214,0
180,9,menewaskan,O,2245,0
181,9,Ghul,B-PER,1686,4
182,9,dilancarkan,O,8144,0
183,9,pada,O,2365,0
184,9,Minggu,O,6182,0
185,9,(24/8),O,5170,0
186,9,waktu,O,2979,0
187,9,setempat,O,4916,0
188,9,.,O,6215,0
189,10,Siapapun,O,1051,0
190,10,bisa,O,3106,0
191,10,membantu,O,7182,0
192,10,dengan,O,3381,0
193,10,menyortir,O,3396,0
194,10,gambar,O,238,0
195,10,ke,O,5973,0
196,10,dalam,O,2176,0
197,10,kategori,O,7129,0
198,10,kota,O,41,0
199,10,",",O,7275,0
200,10,bintang,O,5942,0
201,10,",",O,7275,0
202,10,atau,O,671,0
203,10,benda,O,6393,0
204,10,lainnya,O,579,0
205,10,",",O,7275,0
206,10,kata,O,5420,0
207,10,Alejandro,B-PER,7603,4
208,10,Sanchez,I-PER,1132,3
209,10,",",O,7275,0
210,10,mahasiswa,O,4195,0
211,10,doktoral,O,5159,0
212,10,di,O,4961,0
213,10,Complutense,B-LOC,5543,6
214,10,.,O,6215,0
215,11,Kalau,O,5035,0
216,11,premium,O,8105,0
217,11,sore,O,572,0
218,11,akan,O,607,0
219,11,habis,O,4812,0
220,11,besok,O,3122,0
221,11,akan,O,607,0
222,11,ada,O,7538,0
223,11,lagi,O,4592,0
224,11,kok,O,5116,0
225,11,",",O,7275,0
226,11,silakan,O,7147,0
227,11,beli,O,2571,0
228,11,besok,O,3122,0
229,11,",",O,7275,0
230,11,seru,O,3411,0
231,11,Hanung,B-PER,4290,4
232,11,.,O,6215,0
233,12,Partai,B-ORG,7746,2
234,12,Demokrat,I-ORG,2123,5
235,12,memilih,O,8159,0
236,12,posisi,O,4230,0
237,12,berada,O,4544,0
238,12,di,O,4961,0
239,12,luar,O,4025,0
240,12,pemerintahan,O,5706,0
241,12,tapi,O,723,0
242,12,juga,O,6288,0
243,12,berada,O,4544,0
244,12,di,O,4961,0
245,12,luar,O,4025,0
246,12,koalisi,B-ORG,7512,2
247,12,merah,I-ORG,7477,5
248,12,putih,I-ORG,6920,5
249,12,yang,O,5214,0
250,12,mendukung,O,5756,0
251,12,pasangan,O,84,0
252,12,Prabowo,B-PER,912,4
253,12,-,O,2216,0
254,12,Hatta,B-PER,7576,4
255,12,",",O,7275,0
256,12,kata,O,5420,0
257,12,Rachlan,B-PER,7117,4
258,12,Nasidik,I-PER,5927,3
259,12,usai,O,8256,0
